id,heading_font,body_font,google_fonts_import,mood,best_for,style_notes
41,Caveat,Lato,Caveat:wght@400;500;600;700|Lato:wght@400;700,handwritten casual personal,Personal blogs notes,Natural handwritten style
42,Dancing Script,Quicksand,Dancing+Script:wght@400;500;600;700|Quicksand:wght@400;500,elegant cursive romantic,Wedding invitations,Elegant script for accents
43,Pacifico,Poppins,Pacifico|Poppins:wght@400;500;600,fun retro playful,Casual brands restaurants,Retro script style
44,Great Vibes,Montserrat,Great+Vibes|Montserrat:wght@400;500;600,elegant formal romantic,Wedding luxury,Elegant formal script
45,Satisfy,Work Sans,Satisfy|Work+Sans:wght@400;500;600,casual elegant handwritten,Casual brands,Brush script casual
46,JetBrains Mono,Inter,JetBrains+Mono:wght@400;500;600;700|Inter:wght@400;500,code technical monospace,Dev tools code,Developer-focused monospace
47,Fira Code,Fira Sans,Fira+Code:wght@400;500;600;700|Fira+Sans:wght@400;500,code ligatures technical,Programming IDE,Ligatures for code
48,Source Code Pro,Source Sans Pro,Source+Code+Pro:wght@400;500;600;700|Source+Sans+Pro:wght@400;600,clean monospace readable,Code documentation,Adobe's monospace font
49,IBM Plex Mono,IBM Plex Sans,IBM+Plex+Mono:wght@400;500;600;700|IBM+Plex+Sans:wght@400;500,corporate code technical,Enterprise dev tools,IBM's versatile monospace
50,Roboto Mono,Roboto,Roboto+Mono:wght@400;500;600;700|Roboto:wght@400;500,clean monospace standard,Apps with code,Google's monospace standard
51,Abril Fatface,Lato,Abril+Fatface|Lato:wght@400;700,bold editorial dramatic,Headlines editorial,Display poster style
52,Righteous,Open Sans,Righteous|Open+Sans:wght@400;600,futuristic bold unique,Gaming entertainment,Unique angular display
53,Bungee,Work Sans,Bungee|Work+Sans:wght@400;500,bold urban expressive,Urban youth brands,Layered chromatic display
54,Lobster,Raleway,Lobster|Raleway:wght@400;500;600,retro script bold,Casual restaurants,Bold script style
55,Permanent Marker,Nunito,Permanent+Marker|Nunito:wght@400;600,handwritten marker casual,Youth casual brands,Marker pen style
56,Zilla Slab,Lora,Zilla+Slab:wght@400;500;600;700|Lora:wght@400;500,contemporary slab editorial,Editorial tech,Mozilla's contemporary slab
57,Bitter,Open Sans,Bitter:wght@400;500;600;700|Open+Sans:wght@400;600,readable slab versatile,Editorial blogs,Comfortable reading slab
